upstream,best_logP
-225000,6.89638013128
-175000,7.29185915266
-125000,8.07704670727
-100000,8.30184937334
-75000,9.70604997339
-50000,12.055032209
-38000,13.09555003
-27000,14.9456286978
-26000,14.2569850743
-25000,13.3355409155
-21000,14.6138509724
-15000,16.5745444189
-14000,15.9286166857
-9000,16.8077160012
-6000,17.8700977295
-3000,18.4076143795
-2000,18.5297838924
-1000,19.563901355
0,19.6653220388
1000,23.3562973306
2000,25.9860114226
3000,24.7310583097
4000,19.7767491107
5000,17.3462705661
6000,18.0603106033
7000,17.3244420848
8000,16.0906613567
9000,18.5371673953
10000,13.2905374377
12000,15.6311061659
15000,13.4885083139
21000,10.59557238
22000,11.7931471586
25000,11.3531941689
34000,11.9731694599
46000,11.2370650617
50000,8.02942853334
75000,7.3177501237
125000,4.74845163886
175000,3.85116100995
225000,-0.0
