downstream,best_logP
-225000,-0.0
-175000,4.02050886158
-125000,4.49668922291
-75000,4.40716090295
-25000,5.38172792909
-19000,2.2112246629e-05
-13000,7.53708355543
-7000,6.76836427702
-4000,8.23172224992
-1000,11.0409747126
0,12.3509154224
1000,13.7271814585
2000,14.2560950915
3000,16.8412995119
4000,17.4263951089
5000,17.7553620233
6000,18.5098496395
7000,15.8078416324
8000,17.4592911582
9000,13.101405816
10000,13.0092287326
11000,12.4106498881
12000,11.6202049434
14000,11.7942650098
17000,10.5363624061
23000,8.17408509064
24000,9.32457989207
25000,5.70804321557
36000,9.58985460651
48000,10.8460376872
50000,10.3387184608
60000,9.65783857702
72000,8.90999564166
75000,8.59480849989
84000,8.01199682771
96000,9.81253302584
100000,7.01224999944
125000,6.15125805192
150000,5.61217433887
175000,6.04568454095
225000,3.4591070834
