downstream,best_logP
-225000,-0.0
-175000,3.58788629867
-125000,4.45032103349
-75000,5.60419683652
-50000,5.58961624836
-25000,11.3847607137
-14000,12.6553308719
-13000,12.5891076002
-8000,12.9592161377
-5000,12.7111834815
-2000,16.5745444189
-1000,16.9509285403
0,17.7817635299
1000,18.4076143795
2000,18.5297838924
3000,18.6584530226
4000,24.2395725309
5000,25.9860114226
6000,25.2635625739
7000,23.4807493617
8000,22.2217379946
9000,20.5290702213
10000,21.094448678
11000,17.1375821399
13000,19.2986437209
16000,18.0358239183
22000,16.4775089605
23000,15.3335805609
25000,15.3897161732
28000,14.2522781767
34000,13.3874991049
35000,13.4197947449
47000,13.8276892855
50000,13.2978234217
59000,11.551251044
71000,11.7003936406
75000,11.3817535516
100000,10.1617056117
125000,9.28000206126
175000,6.45563717993
225000,5.72954266734
