downstream,best_logP
-225000,-0.0
-175000,3.47056527101
-125000,4.59188196766
-75000,5.59544301373
-50000,6.24635269413
-25000,12.2611518881
-14000,14.3195797192
-13000,12.454999576
-8000,14.1382693054
-2000,17.9010194886
-1000,16.1540136251
0,13.6513992983
1000,21.2628307103
2000,21.476784358
3000,23.4008100567
4000,26.7593650551
5000,27.3021876447
6000,26.9809073007
7000,26.3348950647
8000,25.9519749124
9000,24.6096571017
10000,25.1576859684
11000,25.0539217009
12000,24.7143603012
13000,24.6968183101
14000,22.75604807
15000,22.872041552
16000,22.5117361501
19000,21.0040360048
22000,19.9914496676
23000,17.9958348025
25000,15.9137813459
28000,18.0218281451
34000,16.567101005
35000,15.5959270007
47000,14.591494392
50000,12.5024044737
59000,11.7426141857
71000,11.8264470828
75000,11.5014331156
100000,11.0643587653
125000,10.2737447089
175000,8.57557343671
225000,6.98523856367
