downstream,best_logP
-225000,-0.0
-175000,0.000309441679237
-125000,0.027141504653
-75000,0.473360700369
-25000,3.77367504528
-14000,1.74691313453e-06
-13000,2.05887578469
-8000,8.75116205166
-2000,11.3880049915
-1000,10.3964777413
0,10.6100305523
1000,10.2088730809
2000,8.56235002614
3000,11.743806322
4000,17.0564566116
5000,17.0115660451
6000,17.7077792998
7000,17.7611462306
8000,16.849706816
9000,13.5198038552
10000,13.898235
11000,13.7032191615
13000,12.206907687
16000,11.7663266319
19000,10.0829099011
22000,10.5979192771
23000,10.43237558
25000,7.11504832119
28000,9.75976747337
34000,8.65103278758
35000,9.06025040545
47000,7.80869343369
50000,1.46604379076
59000,8.56824791589
71000,9.96534031397
75000,6.96467056283
100000,6.71386591573
125000,5.43000546899
150000,4.07866118852
175000,3.37474224471
225000,3.2677483042
