upstream,best_logP
-225000,7.49895800022
-175000,8.33859100159
-125000,9.44735583463
-100000,9.79622754892
-75000,11.7958722685
-50000,15.6047132332
-38000,16.5936763104
-27000,20.0476007617
-26000,17.7375585507
-25000,13.6513992983
-21000,19.9145590214
-15000,20.8651159819
-14000,18.42984026
-12000,22.0630917649
-9000,22.5998326374
-6000,23.3778430333
-5000,23.9001372436
-4000,23.4899456166
-3000,23.109507162
-2000,23.0866111698
-1000,23.4008100567
0,25.3486825802
1000,26.7593650551
2000,27.3021876447
3000,23.9053496352
4000,18.3894858306
5000,19.133752926
6000,18.6043571359
9000,18.2616610199
10000,13.8355955923
15000,13.5340101031
21000,12.0695516647
22000,12.3481049345
25000,11.7952829591
34000,12.0041142156
46000,11.5531283612
50000,8.00291775047
75000,7.54758687588
125000,4.41619188735
175000,3.48739365755
225000,-0.0
