upstream,best_logP
-225000,9.86138825061
-175000,10.9135870847
-125000,11.8838602755
-100000,11.9759690671
-75000,14.1318719221
-50000,18.693807574
-38000,19.6524178147
-27000,21.7074247532
-26000,20.398957064
-25000,17.1020362604
-21000,21.1503520577
-15000,21.8262611539
-14000,20.6231019448
-12000,22.2758502788
-9000,23.1713022689
-6000,24.4079943596
-5000,24.330065815
-4000,24.062270959
-3000,24.3166678607
-2000,24.6433538573
-1000,24.8537510196
0,25.7279994822
1000,27.2195520939
2000,28.5955423362
3000,25.5204423352
4000,21.657766112
5000,20.9442999664
6000,21.0514055188
9000,20.0979778196
10000,14.5956555373
15000,15.2399239503
21000,13.3290977035
22000,13.0379057953
25000,12.1946982207
34000,13.3543515012
46000,11.504315788
50000,7.92183966092
75000,7.29421082696
125000,4.64331269449
175000,3.50223954515
225000,-0.0
