downstream,best_logP
-225000,-0.0
-175000,0.747244421002
-125000,1.58531371115
-75000,2.84164143133
-50000,2.56161214581
-25000,3.698965444
-14000,7.76893965942
-13000,7.75821415196
-8000,9.44062140047
-5000,11.2678894348
-2000,14.5524470195
-1000,12.9692350694
0,24.5430009239
1000,26.4882037101
2000,25.7176706408
3000,26.3905336086
4000,28.1571186127
5000,31.4058169419
6000,32.8611137096
7000,30.0923474852
8000,28.0341769446
9000,28.2685976216
10000,27.6214935046
11000,24.8501393611
13000,24.4550775849
16000,23.8177615147
22000,20.7991895172
23000,20.5729734918
25000,20.3198638909
28000,19.1844115249
34000,19.7764921309
35000,20.0369704841
47000,18.6909486109
50000,18.4097530289
59000,17.7170727089
71000,16.0429160317
75000,15.8869188922
100000,15.6325254439
125000,14.3081225014
175000,11.2200876016
225000,12.2629654851
