height,best_logP
5,12.0127563929
10,24.1968098381
15,21.9129466737
20,21.4772394737
25,24.1493192519
30,23.376942958
35,22.1746000038
40,19.8990087403
45,18.7882583072
55,2.52116053521
65,4.89011729233
75,3.18035397541
95,0.401566158066
