downstream,best_logP
-225000,-0.0
-175000,0.760851295295
-125000,1.06810677974
-75000,1.02987873895
-50000,4.46076312644
-38000,4.67520353518
-26000,4.19836933035
-25000,3.222733714
-15000,1.55465963409e-06
-14000,4.73768504252
-9000,1.24907308339
-6000,0.763762004581
-3000,5.1133450034
-2000,14.7968100427
-1000,4.63706963793
0,25.9346148537
1000,28.3491678986
2000,27.9132000669
3000,29.1419290273
4000,30.2531983943
5000,27.76015941
6000,27.3902926987
7000,26.3420406812
8000,25.3738852826
9000,25.6002103256
10000,25.000129921
12000,22.0969065169
15000,21.0713045515
21000,16.6075205618
22000,17.4120967474
25000,15.6682180829
27000,15.8391017115
33000,18.070051357
34000,17.457854393
46000,15.6817448822
50000,18.1021161746
75000,12.1914927417
100000,10.6089304073
125000,9.32252602588
175000,5.90405148703
225000,7.58580397907
