height,best_logP
5,7.04065434717
10,19.650170921
15,25.9346148537
20,25.5827621563
25,28.2572894354
30,30.2531983943
35,27.6039237136
40,25.9082699638
45,24.1290054917
50,21.4549360772
55,11.3285793987
65,12.389120358
75,12.296049822
95,9.86120796016
