upstream,best_logP
-225000,6.16442218711
-175000,7.41555176078
-125000,8.5015330805
-100000,10.5407535067
-75000,10.7083074477
-63000,10.3484922349
-51000,12.0331807911
-50000,14.0560408292
-39000,14.7968100427
-28000,17.2581266384
-27000,15.7413352926
-25000,20.4233208732
-22000,21.413547334
-19000,21.8292981104
-16000,26.4590500065
-15000,26.7580982275
-14000,28.2940223999
-13000,26.8474351619
-12000,27.4228252311
-11000,27.731057924
-10000,27.9314480485
-9000,29.1419290273
-8000,30.2531983943
-7000,25.6002103256
-6000,25.9346148537
-5000,28.6738013081
-4000,28.3491678986
-3000,25.000129921
-1000,26.2217652078
0,18.1021161746
2000,11.9603019278
8000,0.0956330040398
9000,7.04065434717
14000,0.555592380193
20000,6.22174277793e-08
21000,6.23962844772
25000,2.69333835567
50000,3.02065004039
75000,2.03780309672
125000,1.29780120159
175000,2.6483968484
225000,-0.0
