upstream,best_logP
-225000,1.065795538
-175000,1.80615128452
-125000,1.6308504432
-100000,1.90875304753
-75000,2.7751199833
-63000,2.83216045047
-51000,3.03529715954
-50000,2.84500678407
-39000,4.48811739123
-28000,5.12575767606
-27000,4.81938625497
-25000,4.44940597705
-22000,5.91152503282
-19000,6.16472303597
-16000,5.78710488644
-15000,4.47852691906
-13000,6.00475125714
-12000,6.22082590427
-11000,6.26275727802
-10000,6.4851808883
-9000,6.53969748372
-8000,6.62769537721
-7000,6.79554655399
-6000,6.12322202186
-5000,6.11599227864
-4000,6.07271131569
-3000,6.44579292187
-2000,5.76585890249
-1000,5.64793205115
0,3.57579462275
2000,3.96465786406
8000,1.76905234108
9000,1.76531524845
14000,1.54332060397
20000,1.54876754361
21000,1.79995895698
25000,1.58587704241
50000,1.54575314587
75000,1.31926076201
125000,1.21356668187
175000,1.30923635778
225000,-0.0
