upstream,best_logP
-225000,1.80368943811
-175000,1.63703026966
-125000,1.38002573534
-100000,1.56387784068
-75000,2.13542706119
-50000,3.97445585774
-25000,3.8539248185
-13000,3.8934457141
-2000,3.85905481324
-1000,3.05068462812
0,2.72249681241
4000,4.77496796198
10000,4.02977175922
11000,3.29515992234
16000,6.4748837065
19000,3.97449572977
20000,5.69629143
21000,4.99089240356
22000,5.78426349359
23000,5.55614932674
24000,7.54633884919
25000,8.1761631515
26000,8.5291956648
27000,10.3596635388
28000,7.33140873248
29000,7.75554837191
30000,6.12348773231
31000,5.28071562115
34000,4.16923427638
35000,3.77433115507
37000,4.46289917548
40000,4.58461744578
46000,3.58484720347
47000,3.34828814071
50000,2.39363300229
59000,2.45273997681
71000,4.379896657
75000,2.84735318262
125000,1.39620173492
175000,0.244832010778
225000,-0.0
