upstream,best_logP
-225000,1.2024511545
-175000,1.59161563354
-125000,1.58854916873
-100000,2.10983653519
-75000,2.94693330776
-63000,3.06182346759
-51000,3.4442098854
-50000,3.20444339298
-39000,4.7420893788
-28000,6.00575125493
-27000,5.67836683093
-25000,4.53486421903
-22000,6.38652736655
-16000,6.05196043177
-15000,5.41034701762
-10000,7.25183544294
-7000,7.9090976705
-6000,7.83389989116
-5000,8.42493126543
-4000,8.02858901503
-3000,8.03537972379
-2000,8.64213749889
-1000,10.2617442172
0,9.04355607844
1000,9.60752642562
2000,8.46576046041
3000,7.52587242238
4000,6.20790459273
5000,4.88261674535
8000,2.95288963559
9000,3.78210882647
11000,3.06276240831
14000,2.80628952432
20000,2.35267648022
21000,1.72837911991
25000,1.5910651709
50000,1.13157774609
75000,1.31926076201
125000,1.20864014996
175000,1.38417412791
225000,-0.0
