downstream,best_logP
-225000,0.796524701836
-175000,0.685489452212
-125000,1.4873955457
-75000,1.12884207755
-50000,2.45729163854
-25000,2.59850302465
-14000,2.73469462254
-13000,2.76009192575
-8000,3.72486284608
-5000,3.77535335999
-2000,5.97797513407
-1000,5.44294755088
0,5.89607310042
1000,6.44980041475
2000,6.64388242031
3000,6.54377484052
4000,6.74310945972
5000,6.76930054825
6000,6.54298156405
7000,6.53133259323
8000,6.07340600484
9000,5.70056333698
10000,5.300604796
11000,5.01525910271
13000,5.38213470663
16000,5.24181271598
22000,5.00276426131
23000,4.9260666209
25000,4.4728651162
28000,5.18695557687
34000,4.96587332288
35000,4.28014245245
47000,4.5201315257
50000,3.66533829502
59000,4.47937041845
71000,3.69161143515
75000,3.3528793932
100000,2.52555641013
125000,2.58916590342
175000,2.83525254208
225000,2.97153380521
