height,best_logP
2,22.3927969144
3,22.3544170507
4,22.7331973536
5,22.5184734942
6,22.3420336635
7,21.7102445919
8,21.289352093
10,20.6383337911
11,18.8882646503
12,20.212642495
14,20.6070420726
16,20.3565810052
21,17.8594121742
26,17.997893132
31,16.9649132863
41,15.1654463063
51,14.7459526645
71,13.0521991924
91,11.0323456554
111,9.96288817562
131,9.11943730764
151,8.32812115914
171,7.66583820687
191,7.9681793696
