height,best_logP
2,20.7873244463
3,21.3017689414
4,21.5383689981
5,21.7615378684
6,21.5696393193
7,21.1874186043
8,20.6341048716
9,20.3084319029
10,19.5072283055
11,17.7260470503
12,19.154295071
14,19.7843513533
16,19.616975167
21,17.0148836603
26,17.2516031387
31,16.2480056653
41,14.4285594967
51,14.4572119502
71,12.5439798105
91,10.4522356723
111,9.23025550184
131,8.8068839144
151,8.23135110952
171,7.64235094083
191,8.00572358124
