height,best_logP
5,8.1120390072
10,13.6000544603
15,18.1488075151
20,15.3922633158
25,15.2919448365
30,13.5122950418
35,12.444181494
45,11.2057666625
55,10.9824509443
65,9.4484340792
75,9.57315775675
85,5.52959692963
95,6.96819069352
